Sr,latency
134,0.006591906
135,0.006572533
136,0.006576781
137,0.006572730
138,0.006572952
139,0.006576369
140,0.006570005
141,0.006573384
142,0.006572145
143,0.006572119
144,0.006651562
145,0.006578547
146,0.006581828
147,0.006571345
148,0.006581367
149,0.006573503
150,0.006572183
151,0.006580913
152,0.006577203
153,0.006577388
154,0.006582881
155,0.006580514
156,0.006649894
157,0.006571727
158,0.006584948
159,0.006921778
160,0.006574945
161,0.006690018
162,0.006653010
163,0.006580476
164,0.006599713
165,0.006564737
166,0.006567984
167,0.006635575
168,0.006570093
169,0.006567189
170,0.006564466
171,0.006170067
172,0.006128844
173,0.006140345
174,0.006128590
175,0.006137507
176,0.006196863
177,0.006129475
178,0.006133939
179,0.006128110
180,0.006130854
181,0.006128686
182,0.006129073
183,0.006197593
184,0.006155107
185,0.006133901
186,0.006127652
187,0.006132040
188,0.006130600
189,0.006127499
190,0.006193463
191,0.006129182
192,0.006132052
193,0.006250568
194,0.006423960
195,0.006423904
196,0.006158143
197,0.006128331
198,0.006129272
199,0.006195567
200,0.006128324
201,0.006129432
202,0.006128149
203,0.006133218
204,0.006128614
205,0.006130206
206,0.006194235
207,0.006128343
208,0.006128715
209,0.006129757
210,0.006131480
211,0.006128894
212,0.006127627
213,0.006128689
214,0.006194373
215,0.006321276
216,0.006157178
217,0.006194825
218,0.006196036
219,0.006132999
220,0.006128002
221,0.006128746
222,0.006138812
223,0.006354551
224,0.006396042
225,0.006128178
226,0.006134441
227,0.006127895
228,0.006128064
229,0.006132821
230,0.006128509
231,0.006128278
232,0.006132267
233,0.006127738
234,0.006132153
235,0.006127400
236,0.006127744
237,0.006197130
238,0.006128088
239,0.006128349
240,0.006132931
241,0.006131236
242,0.006128030
243,0.006127417
244,0.006194021
245,0.006128025
246,0.006127931
247,0.006127924
248,0.006131523
249,0.006127779
250,0.006129041
251,0.006128567
252,0.006128679
253,0.006127602
254,0.006131842
255,0.006298403
256,0.006178189
257,0.005751103
258,0.005825843
259,0.005756565
260,0.005762381
261,0.005826467
262,0.005760334
263,0.005748527
264,0.005750107
265,0.005748735
266,0.005746894
267,0.005743203
268,0.005752015
269,0.005747190
270,0.005795875
271,0.006130732
272,0.006128854
273,0.006200792
274,0.006129069
275,0.006128314
276,0.006131598
277,0.006131390
278,0.006134699
279,0.006127978
280,0.006197169
281,0.006129184
282,0.006127902
283,0.006127434
284,0.006132680
285,0.006128465
286,0.006129473
287,0.006131470
288,0.006194542
289,0.006136379
290,0.006128135
291,0.006131481
292,0.006129906
293,0.006128457
294,0.006128634
295,0.006193813
296,0.006127518
297,0.006128181
298,0.006135646
299,0.006138963
300,0.006127720
301,0.006128142
302,0.006195307
303,0.006127723
304,0.006127630
305,0.006130941
306,0.006132740
307,0.006129409
308,0.006131939
309,0.006197017
310,0.006128225
311,0.006132233
312,0.006128991
313,0.006131631
314,0.006127786
315,0.006128161
316,0.006193929
317,0.006127856
318,0.006134346
319,0.006127604
320,0.006137834
321,0.006128051
322,0.006133957
323,0.006206237
324,0.006127844
325,0.006131559
326,0.006128665
327,0.006130603
328,0.006132992
329,0.006127979
330,0.006194187
331,0.006132178
332,0.006127800
333,0.006129054
334,0.006131664
335,0.006034718
336,0.006010999
337,0.006020872
338,0.006034706
339,0.006035158
340,0.006034676
341,0.006036933
342,0.006034699
343,0.006035552
344,0.006034689
345,0.006042871
346,0.006038456
347,0.006034653
348,0.006034508
349,0.006035863
350,0.006035172
351,0.006034515
352,0.006079843
353,0.006002448
354,0.006091950
355,0.006067445
356,0.006290551
357,0.006129015
358,0.006225556
359,0.006141463
360,0.006135330
361,0.006014123
362,0.006042383
363,0.006035126
364,0.006034999
365,0.006038777
366,0.006035459
367,0.006035098
368,0.006034714
369,0.006035278
370,0.006034618
371,0.006038553
372,0.006034698
373,0.006034665
374,0.006035231
375,0.006034831
376,0.005998141
377,0.006042795
378,0.006034639
379,0.006035185
380,0.006034702
381,0.006035825
382,0.006034859
383,0.006051339
384,0.006035297
385,0.006034583
386,0.006034450
